nombre,especie,es_villano,es_protagonista,color_pelo,pelo,es_magico,color_vestimenta,vive_en,genero,habla,edad,color_cuerpo
mickey_mouse,animal,no,si,negro,corto,no,rojo,ciudad,masculino,si,adulto,null
minnie_mouse,animal,no,si,negro,corto,no,rosa,ciudad,femenino,si,adulto,null
daisy_duck,animal,no,si,ninguno,sin_pelo,no,morado,ciudad,femenino,si,adulto,null
donald_duck,animal,no,si,ninguno,sin_pelo,no,azul,ciudad,masculino,si,adulto,null
goofy,animal,no,si,negro,corto,no,naranja,ciudad,masculino,si,adulto,null
pluto,animal,no,no,rubio,corto,no,verde,ciudad,masculino,no,adulto,null
aladdin,humano,no,si,negro,corto,no,blanco,desierto,masculino,si,adulto,null
jasmine,humano,no,si,negro,largo,no,azul,desierto,femenino,si,adulto,null
alice,humano,no,si,rubio,largo,no,azul,otro,femenino,si,nino,null
cheshire_cat,animal,no,no,morado,corto,si,na,bosque,masculino,si,adulto,null
white_rabbit,animal,no,no,blanco,corto,no,cafe,otro,masculino,si,adulto,null
genie,ser_magico,no,si,negro,largo,si,azul,desierto,masculino,si,adulto,null
dutchess,animal,no,no,blanco,corto,no,na,ciudad,femenino,si,adulto,null
omalley,animal,no,si,naranja,corto,no,na,ciudad,masculino,si,adulto,null
marie,animal,no,si,blanco,corto,no,rosa,ciudad,femenino,si,nino,null
pinocchio,objeto,no,si,negro,corto,si,rojo,ciudad,masculino,si,nino,cafe
jiminy_cricket,insecto,no,si,negro,corto,no,negro,ciudad,masculino,si,adulto,null
pocahontas,humano,no,si,negro,largo,no,cafe,bosque,femenino,si,adulto,null
john_smith,humano,no,si,rubio,corto,no,azul,bosque,masculino,si,adulto,null
tinkerbell,ser_magico,no,si,rubio,corto,si,verde,bosque,femenino,si,adulto,null
prince_naveen,humano,no,si,negro,corto,no,verde,pantano,masculino,si,adulto,null
tiana,humano,no,si,negro,largo,no,verde,ciudad,femenino,si,adulto,null
ray,insecto,no,no,negro,corto,no,na,pantano,masculino,si,adulto,null
louis,animal,no,no,ninguno,sin_pelo,no,na,pantano,masculino,si,adulto,cafe
robin_hood,animal,no,si,rojo,corto,no,verde,bosque,masculino,si,adulto,null
maid_marian,animal,no,si,rojo,corto,no,morado,bosque,femenino,si,adulto,null
little_john,animal,no,si,cafe,corto,no,verde,bosque,masculino,si,adulto,null
prince_phillip,humano,no,si,cafe,corto,no,negro,castillo,masculino,si,adulto,null
aurora,humano,no,si,rubio,largo,no,rosa,castillo,femenino,si,adulto,null
fauna,ser_magico,no,no,gris,corto,si,verde,castillo,femenino,si,adulto,null
flora,ser_magico,no,no,gris,corto,si,rojo,bosque,femenino,si,adulto,null
merriweather,ser_magico,no,no,negro,corto,si,azul,bosque,femenino,si,adulto,null
snow_white,humano,no,si,negro,corto,no,amarillo,bosque,femenino,si,adulto,null
doc,ser_magico,no,no,blanco,corto,no,naranja,bosque,masculino,si,adulto,null
dopey,ser_magico,no,no,ninguno,sin_pelo,no,verde,bosque,masculino,si,anciano,null
sleepy,ser_magico,no,no,blanco,corto,no,cafe,bosque,masculino,si,anciano,null
sneezy,ser_magico,no,no,blanco,corto,no,amarillo,bosque,masculino,si,anciano,null
happy,ser_magico,no,no,blanco,corto,no,azul,bosque,masculino,si,anciano,null
bashful,ser_magico,no,no,blanco,largo,no,cafe,bosque,masculino,si,anciano,null
grumpy,ser_magico,no,no,blanco,corto,no,rojo,bosque,masculino,si,anciano,null
rapunzel,humano,no,si,rubio,largo,si,morado,bosque,femenino,si,adulto,null
eugene,humano,no,no,cafe,corto,no,azul,ciudad,masculino,si,adulto,null
tarzan,humano,no,si,cafe,largo,no,cafe,selva,masculino,si,adulto,null
jane,humano,no,no,cafe,largo,no,amarillo,ciudad,femenino,si,adulto,null
woody,juguete,no,si,cafe,corto,no,amarillo,ciudad,masculino,si,adulto,null
dash,humano,no,si,rubio,corto,si,rojo,ciudad,masculino,si,nino,null
jack_jack,humano,no,si,rubio,corto,si,rojo,ciudad,masculino,si,bebe,null
mowgli,humano,no,si,negro,corto,no,rojo,selva,masculino,si,nino,null
baloo,animal,no,si,gris,corto,no,na,selva,masculino,si,adulto,null
bagheera,animal,no,no,negro,corto,no,na,selva,masculino,si,adulto,null
tramp,animal,no,si,gris,corto,no,na,ciudad,masculino,si,adulto,null
lady,animal,no,si,naranja,largo,no,na,ciudad,femenino,si,adulto,null
lilo,humano,no,si,negro,largo,no,rojo,ciudad,femenino,si,nino,null
stitch,animal,no,si,azul,corto,no,na,otro,masculino,si,nino,null
simba,animal,no,si,rubio,corto,no,na,desierto,masculino,si,nino,null
nala,animal,no,no,rubio,corto,no,na,desierto,femenino,si,nino,null
timon,animal,no,no,naranja,corto,no,na,desierto,masculino,si,adulto,null
pumbaa,animal,no,no,rojo,corto,no,na,desierto,masculino,si,adulto,null
rafiki,animal,no,no,gris,corto,no,na,desierto,masculino,si,adulto,null
zazu,animal,no,no,azul,corto,no,na,desierto,masculino,si,adulto,null
buzz_lightyear,juguete,no,si,cafe,corto,no,blanco,ciudad,masculino,si,adulto,null
rex,juguete,no,no,ninguno,sin_pelo,no,na,ciudad,masculino,si,adulto,verde
ham,juguete,no,no,ninguno,sin_pelo,no,na,ciudad,masculino,si,adulto,rosa
slinky,juguete,no,no,ninguno,sin_pelo,no,na,ciudad,masculino,si,adulto,cafe
bullseye,juguete,no,no,cafe,corto,no,cafe,ciudad,masculino,no,adulto,cafe
jesse,juguete,no,si,rojo,largo,no,blanco,ciudad,femenino,si,adulto,null
mr_potatohead,juguete,no,si,ninguno,sin_pelo,no,na,ciudad,masculino,si,adulto,cafe
ralph,humano,no,si,cafe,corto,no,naranja,juego,masculino,si,adulto,null
vanelope,humano,no,si,negro,largo,no,verde,juego,femenino,si,nino,null
felix,humano,no,si,cafe,corto,si,azul,juego,masculino,si,adulto,null
winnie_the_pooh,juguete,no,si,ninguno,sin_pelo,no,rojo,bosque,masculino,si,adulto,amarillo
piglet,juguete,no,si,ninguno,sin_pelo,no,rosa,bosque,masculino,si,adulto,rosa
eeyore,juguete,no,no,negro,corto,no,na,bosque,masculino,si,adulto,gris
rabbit,animal,no,no,rubio,corto,no,na,bosque,masculino,si,adulto,null
tigger,juguete,no,no,ninguno,sin_pelo,no,na,bosque,masculino,si,adulto,naranja
berlioz,animal,no,si,gris,corto,no,na,ciudad,masculino,si,nino,null
toulouse,animal,no,si,naranja,corto,no,na,ciudad,masculino,si,nino,null
bambi,animal,no,si,cafe,corto,no,na,bosque,masculino,si,nino,null
thumper,animal,no,no,gris,corto,no,na,bosque,masculino,si,nino,null
flower,animal,no,no,negro,corto,no,na,bosque,masculino,si,nino,null
belle,humano,no,si,cafe,largo,no,amarillo,castillo,femenino,si,adulto,null
beast,ser_magico,no,si,cafe,largo,si,azul,castillo,masculino,si,adulto,null
cogsworth,objeto,no,no,ninguno,sin_pelo,si,na,castillo,masculino,si,adulto,cafe
lumiere,objeto,no,no,ninguno,sin_pelo,si,na,castillo,masculino,si,adulto,amarillo
mrs_potts,objeto,no,no,ninguno,sin_pelo,si,na,castillo,femenino,si,adulto,blanco
elinor,humano,no,no,negro,largo,si,verde,castillo,femenino,si,adulto,null
merida,humano,no,si,naranja,largo,no,azul,castillo,femenino,si,adulto,null
boys,humano,no,no,naranja,corto,no,azul,castillo,masculino,no,nino,null
mcqueen,objeto,no,si,ninguno,sin_pelo,no,rojo,pueblo,masculino,si,adulto,rojo
sally,objeto,no,si,ninguno,sin_pelo,no,azul,pueblo,femenino,si,adulto,azul
ariel,sirena,no,si,rojo,largo,no,morado,oceano,femenino,si,adulto,null
eric,humano,no,si,negro,corto,no,blanco,castillo,masculino,si,adulto,null
scuttle,animal,no,no,blanco,corto,no,na,oceano,masculino,si,adulto,null
flounder,animal,no,no,azul,corto,no,na,oceano,masculino,si,nino,amarillo
sebastian,animal,no,no,rojo,corto,no,na,oceano,masculino,si,adulto,rojo
boo,humano,no,si,cafe,corto,no,morado,ciudad,femenino,si,nino,null
mike,monstruo,no,si,ninguno,sin_pelo,no,na,ciudad,masculino,si,adulto,verde
sully,monstruo,no,si,ninguno,corto,no,na,ciudad,masculino,si,adulto,azul
mulan,humano,no,si,negro,largo,no,rosa,pueblo,femenino,si,adulto,null
shang,humano,no,si,negro,corto,no,cafe,pueblo,masculino,si,adulto,null
mushu,ser_magico,no,si,ninguno,sin_pelo,si,na,pueblo,masculino,si,adulto,rojo
john,humano,no,no,cafe,corto,no,blanco,ciudad,masculino,si,nino,null
michael,humano,no,no,naranja,corto,no,rosa,ciudad,masculino,si,nino,null
peter_pan,humano,no,si,rojo,corto,si,verde,otro_mundo,masculino,si,nino,null
wendy,humano,no,si,cafe,largo,no,azul,ciudad,femenino,si,nino,null
mater,objeto,no,si,ninguno,sin_pelo,no,cafe,otro,masculino,si,adulto,cafe
cinderella,humano,no,si,rubio,largo,no,azul,castillo,femenino,si,adulto,null
fairy_godmother,ser_magico,no,no,gris,corto,si,morado,otro,femenino,si,anciano,null
jaq,animal,no,no,cafe,corto,no,rojo,castillo,masculino,si,adulto,null
gus,animal,no,no,cafe,corto,no,verde,castillo,masculino,si,adulto,null
dumbo,animal,no,si,ninguno,sin_pelo,no,na,otro,masculino,no,nino,gris
hercules,humano,no,si,naranja,corto,no,naranja,ciudad,masculino,si,adulto,null
pegasus,ser_magico,no,no,azul,corto,si,blanco,ciudad,masculino,si,adulto,null
meg,humano,no,si,cafe,largo,no,morado,ciudad,femenino,si,adulto,null
phil,ser_magico,no,no,naranja,sin_pelo,no,na,ciudad,masculino,si,adulto,null
quasimodo,humano,no,si,rojo,corto,no,verde,ciudad,masculino,si,adulto,null
esmeralda,humano,no,si,negro,largo,no,blanco,ciudad,femenino,si,adulto,null
mr_incredible,humano,no,si,rubio,corto,si,rojo,ciudad,masculino,si,adulto,null
elastigirl,humano,no,si,cafe,corto,si,rojo,ciudad,femenino,si,adulto,null
violet,humano,no,si,negro,largo,si,rojo,ciudad,femenino,si,nino,null
